"bioid","id","name","gender","type","party","twitter","facebook","youtube"
"A000055","01460","Robert B. Aderholt","M","rep","Republican","Robert_Aderholt","RobertAderholt","RobertAderholt"
"A000360","01695","Lamar Alexander","M","sen","Republican","SenAlexander","senatorlamaralexander","lamaralexander"
"A000367","02029","Justin Amash","M","rep","Republican",NA,"repjustinamash","repjustinamash"
"A000369","02090","Mark E. Amodei","M","rep","Republican","MarkAmodeiNV2","MarkAmodeiNV2","markamodeinv2"
"A000370","02201","Alma S. Adams","F","rep","Democrat","RepAdams","CongresswomanAdams",NA
"A000371","02229","Pete Aguilar","M","rep","Democrat","reppeteaguilar","reppeteaguilar",NA
"A000372","02239","Rick W. Allen","M","rep","Republican","reprickallen","CongressmanRickAllen",NA
"A000374","02244","Ralph Lee Abraham","M","rep","Republican","RepAbraham","CongressmanRalphAbraham",NA
"A000375",NA,"Jodey C. Arrington","M","rep","Republican","RepArrington","JodeyArrington",NA
"B000213","00062","Joe Barton","M","rep","Republican","RepJoeBarton","RepJoeBarton","repjoebarton"
"B000490","00091","Sanford D. Bishop, Jr.","M","rep","Democrat","SanfordBishop","sanfordbishop","RepSanfordBishop"
"B000574","00099","Earl Blumenauer","M","rep","Democrat","BlumenauerMedia",NA,"RepBlumenauer"
"B000575","01464","Roy Blunt","M","sen","Republican","RoyBlunt","SenatorBlunt","SenatorBlunt"
"B000755","01468","Kevin Brady","M","rep","Republican","RepKevinBrady","kevinbrady","KBrady8"
"B000944","00136","Sherrod Brown","M","sen","Democrat","SenSherrodBrown",NA,"SherrodBrownOhio"
"B001135","00153","Richard Burr","M","sen","Republican","SenatorBurr","SenatorRichardBurr","SenatorRichardBurr"
"B001227","01469","Robert A. Brady","M","rep","Democrat","RepBrady","RepRobertBrady","BradyPA01"
"B001230","01558","Tammy Baldwin","F","sen","Democrat","SenatorBaldwin","senatortammybaldwin","witammybaldwin"
"B001236","01687","John Boozman","M","sen","Republican","JohnBoozman","JohnBoozman","BoozmanPressOffice"
"B001243","01748","Marsha Blackburn","F","rep","Republican","MarshaBlackburn","marshablackburn","RepMarshaBlackburn"
"B001245","01723","Madeleine Z. Bordallo","F","rep","Democrat",NA,"madeleine.bordallo","RepMadeleineBordallo"
"B001248","01751","Michael C. Burgess","M","rep","Republican","MichaelCBurgess","michaelcburgess","michaelcburgessmd"
"B001250","01753","Rob Bishop","M","rep","Republican","RepRobBishop","RepRobBishop","CongressmanBishop"
"B001251","01761","G. K. Butterfield","M","rep","Democrat","GKButterfield","congressmangkbutterfield","GKBNC01"
"B001257","01838","Gus M. Bilirakis","M","rep","Republican","RepGusBilirakis","GusBilirakis","RepGusBilirakis"
"B001260","01840","Vern Buchanan","M","rep","Republican","VernBuchanan","CongressmanBuchanan","vernbuchanan"
"B001261","01881","John Barrasso","M","sen","Republican","SenJohnBarrasso","johnbarrasso","barrassowyo"
"B001267","01965","Michael F. Bennet","M","sen","Democrat","SenBennetCo","senbennetco","SenatorBennet"
"B001269","02054","Lou Barletta","M","rep","Republican","RepLouBarletta","CongressmanLouBarletta","reploubarletta"
"B001270","01996","Karen Bass","F","rep","Democrat","RepKarenBass","RepKarenBass","RepKarenBass"
"B001273","02063","Diane Black","F","rep","Republican","RepDianeBlack","DianeBlackTN06","RepDianeBlack"
"B001274","01987","Mo Brooks","M","rep","Republican","RepMoBrooks","RepMoBrooks","RepMoBrooks"
"B001275","02018","Larry Bucshon","M","rep","Republican","RepLarryBucshon","RepLarryBucshon","RepLarryBucshon"
"B001277","02076","Richard Blumenthal","M","sen","Democrat","SenBlumenthal","SenBlumenthal","SenatorBlumenthal"
"B001278","02092","Suzanne Bonamici","F","rep","Democrat","RepBonamici","congresswomanbonamici","RepSuzanneBonamici"
"B001281","02153","Joyce Beatty","F","rep","Democrat","RepBeatty","RepJoyceBeatty",NA
"B001282","02131","Andy Barr","M","rep","Republican","RepAndyBarr","RepAndyBarr","RepAndyBarr"
