"retweeter","retweeted"
608944907,15808765
550097439,813286
20174207,598463177
78778106,813286
15278752,21968778
1062993338,813286
59642573,813286
29995481,813286
72010438,77943803
2196759704,76355393
108063967,16910252
109854452,91713348
85113011,813286
156679973,813286
353063439,369505837
30741989,226954021
14370819,109071031
3497941,109071031
387162020,109071031
2293393258,109071031
44730274,813286
22926853,109071031
962683434,109071031
44618911,109071031
544564185,109071031
2179089168,96894306
283324248,96894306
501276670,813286
1346613024,813286
1861708165,813286
23269092,109071031
451043636,109071031
18516303,152807288
1667909474,63738419
904587835,1154588840
14446950,109071031
26031465,813286
385696419,1259692098
115267030,109071031
2325935407,813286
1933192507,109071031
703537136,813286
497239737,109071031
556380493,813286
51071558,72198806
112537940,72198806
162708536,72198806
162708536,72198806
162708536,72198806
1337712294,72198806
856732580,72198806
1135362566,813286
1697688301,72198806
62364413,72198806
17169801,72198806
279898901,813286
108052332,72198806
1458247532,72198806
1458247532,72198806
1458247532,72198806
21695641,22160119
286322844,813286
14275426,146185363
241591923,72198806
153080978,201366428
65699341,14868145
743747108,51228973
2289092823,813286
16819937,313550838
546490867,177307325
243545094,72198806
16474992,51228973
42985017,313550838
35643023,313550838
1933777994,51228973
42915601,72198806
228015335,51228973
1137986071,72198806
1314100418,51228973
632633631,813286
286897024,51228973
124953604,72198806
1861307197,51228973
772238455,168774495
1570811707,51228973
101810576,1289269068
1156172112,201366428
981867829,51228973
1103719536,509234058
1022742007,17294950
387426436,51228973
1062584773,46388145
981867829,51228973
15174190,51228973
2318240730,72198806
981867829,51228973
928163065,72198806
1273303082,369769807
342342741,51228973
23623204,17294950
27820326,17294950
154426278,813286
947122904,72198806
26389140,813286
25003018,813286
189806241,1289269068
309337924,72198806
315495725,1289269068
24210929,51228973
51228973,16474992
2314583196,369769807
1321905392,813286
92299772,146185363
820187383,226954021
528446358,51228973
146185363,431871482
104085465,813286
1195426122,16474992
528446358,51228973
582934782,431871482
300497095,190379304
15205951,72198806
15205951,72198806
15205951,72198806
17426310,16474992
1156172112,10069612
2155941722,813286
68979966,146185363
68979966,146185363
2324466936,813286
35336511,10069612
146185363,68979966
2207743761,51228973
399126524,10069612
41668297,431871482
1244124979,633035500
561203772,813286
136096995,633035500
151633342,10069612
399126524,51228973
98518461,72198806
399126524,51228973
20207106,16474992
70918926,813286
213129470,72198806
1684153214,16910252
1604968958,813286
16698911,16535694
346569284,51228973
241010611,431871482
164725474,813286
20244903,10069612
1339922203,16000856
524595905,16000856
543655428,28103693
17263731,51228973
52520517,182646613
247443079,40086203
431021285,10069612
21002587,193785644
389682689,15808128
1935732793,594863522
2298664678,813286
17372783,1934787661
104523971,51228973
467669838,126430767
1332251666,813286
19808920,1934787661
25037512,18586848
258256339,91734908
374042586,145722710
177362867,51228973
2290464169,990434658
1132831700,813286
40601473,1426814712
857090977,340588050
74240541,1426814712
625742132,26054555
